date;1. open;2. high;3. low;4. close;5. volume
2020-03-20 15:30:00;241.8;242.62;228.0;228.74;17240811.0
2020-03-20 14:30:00;245.25;245.98;240.0;241.75;8900902.0
2020-03-20 13:30:00;247.88;248.8;244.7595;245.27;5682765.0
2020-03-20 12:30:00;245.545;249.68;244.93;247.9;6081353.0
2020-03-20 11:30:00;249.14;250.08;244.34;245.5389;6965124.0
2020-03-20 10:30:00;250.42;251.83;248.03;249.165;7474775.0
2020-03-20 09:30:00;247.7945;251.47;246.47;250.4799;15877617.0
2020-03-19 15:30:00;248.66;250.0299;243.67;244.77;5573968.0
2020-03-19 14:30:00;249.75;251.8198;246.66;248.65;6765118.0
2020-03-19 13:30:00;247.91;250.6323;247.21;249.75;4884323.0
2020-03-19 12:30:00;247.086;249.725;245.2;247.925;5614998.0
2020-03-19 11:30:00;249.69;251.25;245.24;247.0766;7184700.0
2020-03-19 10:30:00;248.8554;252.4225;245.3244;249.7457;8742428.0
2020-03-19 09:30:00;247.4637;255.1487;245.3434;248.8691;13586080.0
2020-03-18 15:30:00;239.23;249.8;238.73;249.79;7860091.0
2020-03-18 14:30:00;237.84;242.06;237.12;239.3135;8782840.0
2020-03-18 13:30:00;240.4158;242.25;237.281;237.8;8542125.0
2020-03-18 12:30:00;246.07;246.35;240.19;240.51;6207180.0
2020-03-18 11:30:00;244.24;246.8;243.3;246.03;6467038.0
2020-03-18 10:30:00;247.245;247.96;243.52;244.195;6887758.0
2020-03-18 09:30:00;239.77;248.0;239.2084;247.2477;13672471.0
2020-03-17 15:30:00;249.79;256.55;249.31;252.86;7505145.0
2020-03-17 14:30:00;254.95;256.25;248.23;249.805;6928301.0
2020-03-17 13:30:00;250.4699;256.05;249.7;254.87;6143864.0
2020-03-17 12:30:00;252.93;254.38;248.06;250.3201;6112663.0
2020-03-17 11:30:00;251.74;259.87;250.85;252.9;9299219.0
2020-03-17 10:30:00;244.76;254.19;244.46;251.7;11256297.0
2020-03-17 09:30:00;247.6235;251.88;240.6934;244.8523;17286166.0
2020-03-16 15:30:00;250.32;252.32;240.0;241.47;9912374.0
2020-03-16 14:30:00;250.97;255.24;250.01;250.4;8601472.0
2020-03-16 13:30:00;254.3;254.31;249.59;250.9635;6518939.0
2020-03-16 12:30:00;254.9;256.7;252.67;254.31;4690226.0
2020-03-16 11:30:00;258.43;259.08;253.75;254.89;6340157.0
2020-03-16 10:30:00;249.35;258.88;249.31;258.46;10740351.0
2020-03-16 09:30:00;241.95;253.0;240.24;249.37;16438592.0
2020-03-13 15:30:00;261.28;282.38;256.59;278.11;12426445.0
2020-03-13 14:30:00;258.09;262.0;256.16;261.215;7005786.0
2020-03-13 13:30:00;262.26;264.0;257.11;258.165;7054393.0
2020-03-13 12:30:00;256.72;263.04;256.6125;262.3083;7481563.0
2020-03-13 11:30:00;257.7832;261.409;255.4112;256.8579;8219730.0
2020-03-13 10:30:00;262.47;263.245;256.9989;256.9989;8494523.0
2020-03-13 09:30:00;265.5135;268.0584;255.8046;262.5879;21069240.0
2020-03-12 15:30:00;252.06;258.05;248.0;248.0;9101609.0
2020-03-12 14:30:00;254.24;258.13;251.78;252.06;9684075.0
2020-03-12 13:30:00;262.18;263.88;252.79;254.21;9141735.0
2020-03-12 12:30:00;252.32;270.0;250.87;262.22;14059600.0
2020-03-12 11:30:00;254.9345;258.4994;251.6909;252.3411;10524606.0
2020-03-12 10:30:00;259.795;262.4;254.6401;254.88;10151550.0
2020-03-12 09:30:00;255.9902;264.0619;252.3505;259.8009;19468039.0
2020-03-11 15:30:00;274.3482;278.33;271.86;275.31;7303522.0
2020-03-11 14:30:00;274.99;277.97;272.21;274.365;8138091.0
2020-03-11 13:30:00;276.86;277.08;274.11;274.96;4864890.0
2020-03-11 12:30:00;278.3954;281.2346;276.8167;276.8811;6116379.0
2020-03-11 11:30:00;276.12;281.22;275.68;278.35;6483777.0
2020-03-11 10:30:00;275.54;277.25;275.0;276.11;5898796.0
2020-03-11 09:30:00;277.46;279.35;274.9;275.52;10897272.0
2020-03-10 15:30:00;278.59;286.44;277.9;285.69;6771175.0
2020-03-10 14:30:00;275.12;281.48;274.82;278.66;7174400.0
2020-03-10 13:30:00;276.345;280.0645;274.7186;275.1598;4694237.0
2020-03-10 12:30:00;274.88;278.29;273.66;276.3443;5434392.0
2020-03-10 11:30:00;272.325;280.9676;271.894;275.0025;9054255.0
2020-03-10 10:30:00;279.6162;280.2376;271.17;272.22;9220648.0
2020-03-10 09:30:00;277.14;281.83;275.24;279.6;13661142.0
2020-03-09 15:30:00;272.13;273.8;265.87;266.09;6908179.0
2020-03-09 14:30:00;269.07;273.5;267.92;272.1455;7928284.0
2020-03-09 13:30:00;273.44;273.44;268.0;269.187;6055921.0
2020-03-09 12:30:00;274.93;276.35;273.1;273.38;5366261.0
2020-03-09 11:30:00;272.94;278.09;271.52;274.375;7036063.0
2020-03-09 10:30:00;274.37;277.77;272.4;273.05;8136027.0
2020-03-09 09:30:00;265.73;277.38;265.162;274.32;14901155.0
2020-03-06 15:30:00;283.6;290.79;283.02;288.98;6637186.0
2020-03-06 14:30:00;284.87;285.1853;281.6;283.68;6280259.0
2020-03-06 13:30:00;287.21;287.75;283.87;284.8095;3823313.0
2020-03-06 12:30:00;284.77;288.2351;284.5;287.3;4088822.0
2020-03-06 11:30:00;286.05;287.44;283.59;284.753;4464002.0
2020-03-06 10:30:00;288.13;290.05;285.13;286.12;6429520.0
2020-03-06 09:30:00;282.0;288.36;281.23;288.11;12625055.0
2020-03-05 15:30:00;292.47;294.71;291.41;292.92;5317458.0
2020-03-05 14:30:00;294.15;295.8;291.82;292.45;4661428.0
2020-03-05 13:30:00;295.7;296.8499;293.78;294.13;3640344.0
2020-03-05 12:30:00;296.75;297.35;293.22;295.7;4831467.0
2020-03-05 11:30:00;298.91;299.34;296.2601;296.76;3475337.0
2020-03-05 10:30:00;297.7488;299.55;296.85;298.9798;4934878.0
2020-03-05 09:30:00;295.52;298.72;294.3;297.71;9326222.0
2020-03-04 15:30:00;300.48;303.4;298.82;302.94;6846697.0
2020-03-04 14:30:00;299.7617;300.48;298.1701;300.46;4641888.0
2020-03-04 13:30:00;299.84;300.16;297.8202;299.77;4681012.0
2020-03-04 12:30:00;296.7642;300.74;295.69;299.825;5351040.0
2020-03-04 11:30:00;297.18;297.42;294.51;296.77;3734965.0
2020-03-04 10:30:00;297.1284;299.8544;296.889;297.2284;5238414.0
2020-03-04 09:30:00;298.0477;300.9739;295.8766;297.1308;12549090.0
2020-03-03 15:30:00;293.0;293.0;287.84;289.31;5971930.0
2020-03-03 14:30:00;287.9;293.43;286.94;293.0491;7881519.0
2020-03-03 13:30:00;291.35;292.22;285.8;287.92;7268773.0
2020-03-03 12:30:00;293.8858;295.59;289.52;291.38;4850351.0
2020-03-03 11:30:00;291.91;297.49;291.58;293.82;6288974.0
2020-03-03 10:30:00;299.64;300.94;291.12;292.03;9339430.0
2020-03-03 09:30:00;303.6895;306.3925;294.6306;299.7487;22402442.0
2020-03-02 15:30:00;291.71;301.44;291.0763;298.84;7830430.0
2020-03-02 14:30:00;290.3813;295.0816;289.6236;291.7509;6852607.0
2020-03-02 13:30:00;288.45;291.93;287.5;290.3005;5510268.0
2020-03-02 12:30:00;289.975;292.75;287.8;288.43;6587339.0
2020-03-02 11:30:00;289.66;293.55;289.05;289.97;11076344.0
2020-03-02 10:30:00;281.305;290.15;279.94;289.625;12853176.0
2020-03-02 09:30:00;283.4545;286.9842;280.6981;281.3668;16857920.0
2020-02-28 15:30:00;266.705;274.64;265.67;274.64;7068921.0
2020-02-28 14:30:00;266.94;272.48;266.3;266.684;9421626.0
2020-02-28 13:30:00;270.4308;272.8933;266.1305;267.0996;7023584.0
2020-02-28 12:30:00;272.28;275.18;270.05;270.33;7433459.0
2020-02-28 11:30:00;269.6709;281.1078;269.6074;272.3916;12027886.0
2020-02-28 10:30:00;260.84;269.62;260.64;269.58;12425498.0
2020-02-28 09:30:00;257.82;264.51;256.37;260.95;27167040.0
2020-02-27 15:30:00;277.7504;278.039;272.96;273.0798;6898474.0
2020-02-27 14:30:00;280.76;280.78;277.09;277.75;5538473.0
2020-02-27 13:30:00;281.3051;285.5296;280.8329;280.86;6155779.0
2020-02-27 12:30:00;282.78;285.65;281.15;281.2287;5804122.0
2020-02-27 11:30:00;280.92;287.09;280.46;282.86;7488791.0
2020-02-27 10:30:00;277.1436;287.2808;276.4254;280.8993;12229148.0
2020-02-27 09:30:00;281.1;285.8;276.31;277.13;17849422.0
2020-02-26 15:30:00;292.83;293.38;292.1;292.69;2783207.0
2020-02-26 14:30:00;292.09;294.1399;291.11;292.84;3781623.0
2020-02-26 13:30:00;294.2674;297.1215;292.0225;292.1566;5169921.0
2020-02-26 12:30:00;292.88;294.83;292.88;294.22;3686176.0
2020-02-26 11:30:00;297.52;297.53;290.31;292.8224;5783085.0
2020-02-26 10:30:00;294.8365;297.88;294.72;297.5499;6337050.0
2020-02-26 09:30:00;286.53;295.78;286.5;294.8117;11852308.0
2020-02-25 15:30:00;288.61;289.5;286.13;288.1;6113117.0
2020-02-25 14:30:00;289.67;292.48;288.0;288.6463;6901611.0
2020-02-25 13:30:00;294.3427;294.3427;289.66;289.6844;5509076.0
2020-02-25 12:30:00;294.18;295.88;293.25;294.34;3822155.0
2020-02-25 11:30:00;292.2306;296.6133;291.42;294.21;5074896.0
2020-02-25 10:30:00;297.69;298.32;290.35;292.295;8872482.0
2020-02-25 09:30:00;300.95;302.53;297.28;297.69;8630451.0
2020-02-24 15:30:00;300.62;300.9499;298.08;298.17;4166611.0
2020-02-24 14:30:00;300.71;303.29;300.3;300.5612;4234358.0
2020-02-24 13:30:00;299.83;300.93;299.11;300.685;2855095.0
2020-02-24 12:30:00;299.15;300.98;298.66;299.85;3297507.0
2020-02-24 11:30:00;300.42;300.62;298.0;299.1631;4075699.0
2020-02-24 10:30:00;300.2099;301.3599;298.4;300.44;5694725.0
2020-02-24 09:30:00;297.367;307.0058;291.9169;300.3677;17968726.0
2020-02-21 15:30:00;311.31;313.56;310.84;313.03;3174464.0
2020-02-21 14:30:00;311.56;312.6;311.11;311.33;2994117.0
2020-02-21 13:30:00;314.5464;314.56;310.5;311.58;5208040.0
2020-02-21 12:30:00;316.0843;316.1989;314.35;314.556;2418313.0
2020-02-21 11:30:00;316.88;317.42;315.91;316.08;1672863.0
2020-02-21 10:30:00;317.5;317.68;315.5713;316.88;2806946.0
2020-02-21 09:30:00;318.62;320.315;316.41;317.4928;6368381.0
2020-02-20 15:30:00;320.205;320.75;319.81;320.31;1764310.0
2020-02-20 14:30:00;319.9818;321.1793;319.7;320.21;1908328.0
2020-02-20 13:30:00;320.305;321.0;319.5;319.98;1488659.0
2020-02-20 12:30:00;319.18;321.06;318.61;320.31;2319817.0
2020-02-20 11:30:00;320.69;320.96;318.29;319.16;4170455.0
2020-02-20 10:30:00;323.38;324.05;320.51;320.71;3381268.0
2020-02-20 09:30:00;322.63;324.58;322.58;323.39;4341494.0
2020-02-19 15:30:00;323.68;323.94;322.92;323.62;1961497.0
2020-02-19 14:30:00;323.94;324.3;323.38;323.67;1466595.0
2020-02-19 13:30:00;324.22;324.22;323.55;323.9346;1170501.0
2020-02-19 12:30:00;323.96;324.56;323.85;324.2292;1220666.0
2020-02-19 11:30:00;324.12;324.435;323.6;323.9424;1878563.0
2020-02-19 10:30:00;323.1992;324.57;322.822;324.13;3648620.0
2020-02-19 09:30:00;320.0;323.29;320.0;323.17;5821328.0
2020-02-18 15:30:00;319.19;319.28;318.3;319.01;2040178.0
2020-02-18 14:30:00;319.16;319.72;318.85;319.2;2725972.0
2020-02-18 13:30:00;317.705;319.18;317.38;319.16;2253219.0
2020-02-18 12:30:00;316.3;318.19;316.2987;317.709;2771952.0
2020-02-18 11:30:00;316.96;317.46;315.21;316.26;3943610.0
2020-02-18 10:30:00;316.59;318.64;316.52;316.98;3670101.0
2020-02-18 09:30:00;315.36;318.1185;314.61;316.5872;12409247.0
2020-02-14 15:30:00;323.72;325.0;323.6127;324.95;1890088.0
2020-02-14 14:30:00;324.12;324.6225;323.66;323.75;1543033.0
2020-02-14 13:30:00;324.23;324.83;323.34;324.13;1494939.0
2020-02-14 12:30:00;324.5168;325.09;323.96;324.24;1606250.0
2020-02-14 11:30:00;325.08;325.2299;324.18;324.52;1619153.0
2020-02-14 10:30:00;324.94;325.94;324.63;325.0999;2360514.0
2020-02-14 09:30:00;324.74;325.9288;322.85;324.9276;4406813.0
2020-02-13 15:30:00;325.22;325.3;324.4276;324.91;1525012.0
2020-02-13 14:30:00;325.55;326.18;324.86;325.215;1625263.0
2020-02-13 13:30:00;325.23;326.21;325.03;325.5;1645544.0
2020-02-13 12:30:00;325.59;325.8001;324.39;325.25;1760771.0
2020-02-13 11:30:00;325.29;326.22;324.75;325.594;2048398.0
2020-02-13 10:30:00;323.99;325.73;323.54;325.3;2959819.0
2020-02-13 09:30:00;324.19;325.8499;323.35;323.99;6707444.0
2020-02-12 15:30:00;325.39;327.21;325.2;327.2;3598933.0
2020-02-12 14:30:00;324.9562;325.53;324.85;325.4;1966308.0
2020-02-12 13:30:00;325.1105;325.34;324.73;324.96;1848496.0
2020-02-12 12:30:00;324.7904;325.4;324.56;325.1;2567419.0
2020-02-12 11:30:00;324.18;324.82;323.71;324.8;2040259.0
2020-02-12 10:30:00;322.36;324.64;322.3;324.16;3276334.0
2020-02-12 09:30:00;322.2;323.88;321.8217;322.36;5489334.0
2020-02-11 15:30:00;319.1899;319.73;318.7599;319.61;2127047.0
2020-02-11 14:30:00;320.72;321.24;318.71;319.18;2765811.0
2020-02-11 13:30:00;322.43;322.66;320.16;320.68;2041056.0
2020-02-11 12:30:00;322.04;323.01;321.61;322.4201;1438878.0
2020-02-11 11:30:00;322.47;322.6436;321.01;322.028;2216831.0
2020-02-11 10:30:00;322.1898;323.28;322.05;322.47;2513088.0
2020-02-11 09:30:00;323.6;323.9;321.57;322.1936;5181392.0
2020-02-10 15:30:00;321.27;321.54;320.55;321.54;2144300.0
2020-02-10 14:30:00;319.8577;321.33;319.45;321.268;2353939.0
2020-02-10 13:30:00;319.64;319.95;319.01;319.8483;1184231.0
2020-02-10 12:30:00;319.2385;320.0;318.73;319.66;1280117.0
2020-02-10 11:30:00;319.82;320.1262;318.15;319.211;2214284.0
2020-02-10 10:30:00;318.26;320.25;317.95;319.85;3640621.0
2020-02-10 09:30:00;315.885;318.75;315.75;318.2429;7588193.0
2020-02-07 15:30:00;318.31;320.06;318.12;320.04;2906786.0
2020-02-07 14:30:00;319.58;320.24;318.0;318.3025;3065840.0
2020-02-07 13:30:00;322.23;322.48;318.33;319.6075;3600996.0
2020-02-07 12:30:00;323.23;323.2785;321.88;322.2234;1519546.0
2020-02-07 11:30:00;322.96;323.4;322.42;323.24;1730631.0
2020-02-07 10:30:00;322.22;323.32;321.75;322.9603;3174637.0
2020-02-07 09:30:00;322.38;322.73;320.44;322.22;7222078.0
2020-02-06 15:30:00;324.13;325.22;324.12;325.21;2388050.0
2020-02-06 14:30:00;324.6332;325.0;323.92;324.15;2219911.0
2020-02-06 13:30:00;323.695;324.99;323.6456;324.615;2542753.0
2020-02-06 12:30:00;323.06;324.0;322.73;323.69;3197896.0
2020-02-06 11:30:00;322.51;323.07;321.54;323.05;2075191.0
2020-02-06 10:30:00;320.52;322.62;320.39;322.51;2471562.0
2020-02-06 09:30:00;322.61;323.0;320.37;320.52;4978432.0
2020-02-05 15:30:00;322.18;322.25;320.53;321.58;2585383.0
2020-02-05 14:30:00;320.755;322.5;320.6;322.18;2472784.0
2020-02-05 13:30:00;320.23;321.13;320.04;320.755;1485802.0
2020-02-05 12:30:00;321.35;321.72;319.95;320.25;1600480.0
2020-02-05 11:30:00;320.94;322.05;319.72;321.36;2689668.0
2020-02-05 10:30:00;320.7;321.589;318.95;320.9698;4454717.0
2020-02-05 09:30:00;323.52;324.76;320.06;320.7;8174261.0
2020-02-04 15:30:00;318.5697;319.13;317.43;318.86;2951543.0
2020-02-04 14:30:00;318.89;319.36;318.33;318.57;3303752.0
2020-02-04 13:30:00;318.29;319.64;318.26;318.8901;1989937.0
2020-02-04 12:30:00;317.65;318.64;317.33;318.29;2329523.0
2020-02-04 11:30:00;318.09;319.52;317.38;317.635;3798548.0
2020-02-04 10:30:00;316.255;318.32;316.12;318.0842;4245818.0
2020-02-04 09:30:00;315.92;316.7;313.6899;316.23;7975985.0
2020-02-03 15:30:00;308.905;309.3;307.3501;308.68;2789660.0
2020-02-03 14:30:00;307.3454;308.9099;306.91;308.8954;2536567.0
2020-02-03 13:30:00;306.86;308.31;306.64;307.3495;3154391.0
2020-02-03 12:30:00;310.9599;311.2;306.12;306.87;4419376.0
2020-02-03 11:30:00;312.8;313.49;310.4329;310.94;3543280.0
2020-02-03 10:30:00;312.445;313.46;311.3025;312.78;4162507.0
2020-02-03 09:30:00;304.18;312.91;302.22;312.4299;14217383.0
2020-01-31 15:30:00;310.8;311.04;308.29;309.39;6279555.0
2020-01-31 14:30:00;311.544;313.03;310.3621;310.825;4587668.0
2020-01-31 13:30:00;313.23;313.75;310.05;311.577;5972119.0
2020-01-31 12:30:00;316.13;316.13;312.98;313.2295;3784508.0
2020-01-31 11:30:00;315.53;316.91;314.48;316.1369;3530075.0
2020-01-31 10:30:00;315.604;317.19;315.07;315.52;5048875.0
2020-01-31 09:30:00;320.93;322.68;315.07;315.63;10113000.0
2020-01-30 15:30:00;321.79;323.97;321.56;323.8762;2685444.0
2020-01-30 14:30:00;320.595;322.33;319.55;321.785;3487106.0
2020-01-30 13:30:00;319.87;321.24;319.66;320.5821;1877710.0
2020-01-30 12:30:00;320.84;321.17;319.31;319.876;2467993.0
2020-01-30 11:30:00;321.54;322.53;320.83;320.9;2523665.0
2020-01-30 10:30:00;322.7032;325.1792;321.2586;321.563;5240967.0
2020-01-30 09:30:00;320.5435;323.9459;320.13;322.63;6955895.0
2020-01-29 15:30:00;327.22;327.29;324.07;324.36;4054198.0
2020-01-29 14:30:00;326.8;327.55;326.2;327.24;3757391.0
2020-01-29 13:30:00;326.77;327.85;326.21;326.8;3367904.0
2020-01-29 12:30:00;326.75;327.0;325.46;326.76;3021145.0
2020-01-29 11:30:00;326.85;327.8;326.2;326.73;5359632.0
2020-01-29 10:30:00;324.28;327.0;324.2;326.85;7537522.0
2020-01-29 09:30:00;324.45;327.25;321.38;324.2692;16319148.0
2020-01-28 15:30:00;318.0;318.06;316.91;317.76;3908937.0
2020-01-28 14:30:00;317.1172;318.4;317.02;318.0;3319499.0
2020-01-28 13:30:00;316.59;317.67;316.13;317.12;2317912.0
2020-01-28 12:30:00;316.8;317.17;316.01;316.5705;2377795.0
2020-01-28 11:30:00;315.965;316.94;315.61;316.8069;2580027.0
2020-01-28 10:30:00;313.5917;316.22;313.58;315.9656;4935432.0
2020-01-28 09:30:00;312.8391;314.03;312.19;313.57;6888483.0
2020-01-27 15:30:00;309.3253;312.7129;307.7367;309.0652;2868326.0
2020-01-27 14:30:00;310.96;311.2;308.62;309.2135;3250575.0
2020-01-27 13:30:00;311.14;311.295;309.88;310.9599;1839218.0
2020-01-27 12:30:00;310.64;311.6;310.5;311.14;2348646.0
2020-01-27 11:30:00;308.31;311.09;307.86;310.71;3448084.0
2020-01-27 10:30:00;311.1308;311.2;307.53;308.33;4480624.0
2020-01-27 09:30:00;310.1601;314.8035;308.8663;311.2505;12727273.0
2020-01-24 15:30:00;319.63;319.68;317.5188;318.33;3368658.0
