;date;1. open;2. high;3. low;4. close;5. volume
0;2020-04-16 13:28:00;115.52;115.57;115.47;115.51;20791.0
1;2020-04-16 13:27:00;115.54;115.55;115.51;115.52;12650.0
2;2020-04-16 13:26:00;115.43;115.54;115.3944;115.5365;9222.0
3;2020-04-16 13:25:00;115.46;115.5487;115.41;115.43;4451.0
4;2020-04-16 13:24:00;115.37;115.5;115.37;115.4725;3852.0
5;2020-04-16 13:23:00;115.41;115.41;115.28;115.3425;4760.0
6;2020-04-16 13:22:00;115.375;115.46;115.36;115.46;4008.0
7;2020-04-16 13:21:00;115.435;115.435;115.3501;115.36;2872.0
8;2020-04-16 13:20:00;115.33;115.4444;115.33;115.4444;2714.0
9;2020-04-16 13:19:00;115.32;115.32;115.23;115.29;1960.0
10;2020-04-16 13:18:00;115.28;115.31;115.25;115.29;2944.0
11;2020-04-16 13:17:00;115.44;115.44;115.23;115.248;3630.0
12;2020-04-16 13:16:00;115.5;115.57;115.48;115.48;5616.0
13;2020-04-16 13:15:00;115.4457;115.5437;115.4457;115.52;3885.0
14;2020-04-16 13:14:00;115.39;115.42;115.36;115.42;0.0
15;2020-04-16 13:13:00;115.39;115.4599;115.33;115.38;6037.0
16;2020-04-16 13:12:00;115.26;115.38;115.26;115.38;4720.0
17;2020-04-16 13:11:00;115.29;115.32;115.24;115.27;3659.0
18;2020-04-16 13:10:00;115.41;115.45;115.27;115.27;3818.0
19;2020-04-16 13:09:00;115.51;115.61;115.35;115.38;2326.0
20;2020-04-16 13:08:00;115.61;115.64;115.48;115.505;8052.0
21;2020-04-16 13:07:00;115.64;115.66;115.55;115.63;13588.0
22;2020-04-16 13:06:00;115.425;115.67;115.425;115.63;14988.0
23;2020-04-16 13:05:00;115.41;115.45;115.36;115.415;9943.0
24;2020-04-16 13:04:00;115.34;115.46;115.34;115.435;5673.0
25;2020-04-16 13:03:00;115.46;115.48;115.34;115.34;5045.0
26;2020-04-16 13:02:00;115.45;115.49;115.36;115.46;3981.0
27;2020-04-16 13:01:00;115.38;115.49;115.361;115.45;6320.0
28;2020-04-16 13:00:00;115.39;115.44;115.37;115.38;5632.0
29;2020-04-16 12:59:00;115.37;115.45;115.31;115.43;5961.0
30;2020-04-16 12:58:00;115.23;115.43;115.22;115.3899;7564.0
31;2020-04-16 12:57:00;114.99;115.26;114.99;115.21;6267.0
32;2020-04-16 12:56:00;115.02;115.02;114.97;114.985;4401.0
33;2020-04-16 12:55:00;115.1;115.15;115.07;115.07;5145.0
34;2020-04-16 12:54:00;115.1;115.13;115.04;115.07;5942.0
35;2020-04-16 12:53:00;115.11;115.17;115.04;115.1291;4815.0
36;2020-04-16 12:52:00;115.095;115.14;115.08;115.09;1774.0
37;2020-04-16 12:51:00;115.16;115.26;115.07;115.16;3995.0
38;2020-04-16 12:50:00;115.2;115.27;115.1;115.15;6084.0
39;2020-04-16 12:49:00;115.19;115.32;115.118;115.15;7050.0
40;2020-04-16 12:48:00;115.09;115.22;114.97;115.22;3285.0
41;2020-04-16 12:47:00;115.05;115.08;114.92;115.08;19675.0
42;2020-04-16 12:46:00;115.16;115.18;115.09;115.1099;2970.0
43;2020-04-16 12:45:00;115.15;115.16;115.05;115.1333;4281.0
44;2020-04-16 12:44:00;115.0;115.26;115.0;115.16;6878.0
45;2020-04-16 12:43:00;114.96;115.02;114.9;114.95;6116.0
46;2020-04-16 12:42:00;114.94;115.04;114.92;114.995;6870.0
47;2020-04-16 12:41:00;114.98;115.01;114.9;114.97;6060.0
48;2020-04-16 12:40:00;114.87;115.03;114.835;115.005;14142.0
49;2020-04-16 12:39:00;114.72;114.92;114.71;114.91;6843.0
50;2020-04-16 12:38:00;114.52;114.76;114.52;114.72;36160.0
51;2020-04-16 12:37:00;114.67;114.675;114.42;114.5;15549.0
52;2020-04-16 12:36:00;114.65;114.77;114.65;114.68;16426.0
53;2020-04-16 12:35:00;114.585;114.6762;114.54;114.6696;8959.0
54;2020-04-16 12:34:00;114.82;114.86;114.56;114.56;15154.0
55;2020-04-16 12:33:00;114.92;114.9494;114.79;114.82;10654.0
56;2020-04-16 12:32:00;114.96;114.97;114.87;114.89;8092.0
57;2020-04-16 12:31:00;115.24;115.24;114.96;114.964;8569.0
58;2020-04-16 12:30:00;115.15;115.3;115.13;115.22;6118.0
59;2020-04-16 12:29:00;115.2902;115.34;115.2;115.21;7446.0
60;2020-04-16 12:28:00;115.09;115.3235;115.09;115.32;7939.0
61;2020-04-16 12:27:00;115.0176;115.08;114.93;115.07;5314.0
62;2020-04-16 12:26:00;114.86;115.03;114.86;115.015;6644.0
63;2020-04-16 12:25:00;114.98;114.99;114.76;114.8309;19103.0
64;2020-04-16 12:24:00;115.04;115.07;114.98;115.04;12463.0
65;2020-04-16 12:23:00;115.02;115.1;115.0;115.02;13613.0
66;2020-04-16 12:22:00;114.9798;115.08;114.91;115.03;15519.0
67;2020-04-16 12:21:00;115.13;115.145;114.91;114.96;52179.0
68;2020-04-16 12:20:00;115.31;115.323;115.11;115.136;13187.0
69;2020-04-16 12:19:00;115.239;115.239;115.18;115.23;9055.0
70;2020-04-16 12:18:00;115.3185;115.33;115.1;115.13;16257.0
71;2020-04-16 12:17:00;115.54;115.57;115.31;115.31;7491.0
72;2020-04-16 12:16:00;115.515;115.515;115.4;115.51;14982.0
73;2020-04-16 12:15:00;115.55;115.56;115.5;115.51;10012.0
74;2020-04-16 12:14:00;115.57;115.61;115.54;115.54;11274.0
75;2020-04-16 12:13:00;115.54;115.6357;115.5286;115.5761;7068.0
76;2020-04-16 12:12:00;115.59;115.59;115.51;115.523;12524.0
77;2020-04-16 12:11:00;115.59;115.61;115.53;115.6;8552.0
78;2020-04-16 12:10:00;115.61;115.7096;115.59;115.6;7517.0
79;2020-04-16 12:09:00;115.7;115.7389;115.6;115.63;17243.0
80;2020-04-16 12:08:00;115.73;115.82;115.715;115.73;11278.0
81;2020-04-16 12:07:00;115.86;115.86;115.71;115.71;41293.0
82;2020-04-16 12:06:00;115.9;115.9132;115.81;115.84;9930.0
83;2020-04-16 12:05:00;115.89;115.92;115.815;115.9;14312.0
84;2020-04-16 12:04:00;115.88;115.9189;115.83;115.89;7999.0
85;2020-04-16 12:03:00;115.96;115.96;115.86;115.88;10894.0
